"filename", "language", "Markdown", "pip requirements", "TypeScript", "Python", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\MAJOR_PROJECT\codewithishant-v2\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MAJOR_PROJECT\codewithishant-v2\FEATURE_LOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MAJOR_PROJECT\codewithishant-v2\PROJECT_CONTEXT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MAJOR_PROJECT\codewithishant-v2\README.md", "Markdown", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 173
"d:\MAJOR_PROJECT\codewithishant-v2\backend\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\config.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\db.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 23
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\lib\jwt.py", "Python", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\lib\security.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\lib\utils.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\main.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 12, 35
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\models\__init__.py", "Python", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\models\admin.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\models\note.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\models\topic.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\routes\auth.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\routes\deps.py", "Python", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\routes\note.py", "Python", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 19, 82
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\routes\topic.py", "Python", 0, 0, 0, 146, 0, 0, 0, 0, 0, 15, 49, 210
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\schemas\admin.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\schemas\note.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\schemas\topic.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 8, 29
"d:\MAJOR_PROJECT\codewithishant-v2\backend\app\schemas\topic_full.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
